Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -65/8.8,14,26,UpUnc,2026-07-15T15:35:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3310414650
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 26
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.8
RSSI: -65
Power: -
Payload(b64): A5cLAQAABJhGAAln//8=
Payload(hex): 03970b010000049846000967ffff
JSON: {""current"":0.7,""temperature_sensor_status"":2,""total_current"":2.67}
MIC: 2f2d5774"
24E124746E228250,24E124FFFEFAB29D,472900000,SF7BW125, -54/11.5,14,25,UpUnc,2026-07-15T15:06:36+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 1547127341
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 25
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.5
RSSI: -54
Power: -
Payload(b64): A5fnAAAABJg0AAln8wA=
Payload(hex): 0397e7000000049834000967f300
JSON: {""current"":0.52,""temperature"":24.3,""total_current"":2.31}
MIC: 547be41d"
24E124746E228250,24E124FFFEFAB29D,501900000,SF7BW125, -/-,0,5,DnUnc,2026-07-15T15:05:36+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: false
Timestamp: 1488131410
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 5
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 20
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 462a3356"
24E124746E228250,24E124FFFEFAB29D,471900000,SF7BW125, -54/13.2,14,24,UpUnc,2026-07-15T15:05:36+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 1487131410
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 24
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -54
Power: -
Payload(b64): A5fmAAAABJgzAAln8QA=
Payload(hex): 0397e6000000049833000967f100
JSON: {""current"":0.51,""temperature"":24.1,""total_current"":2.3}
MIC: da44087d"
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -47/10.5,14,23,UpUnc,2026-07-15T13:10:10+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3151325709
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 23
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 10.5
RSSI: -47
Power: -
Payload(b64): A5dyAAAABJgeAAln//8=
Payload(hex): 03977200000004981e000967ffff
JSON: {""current"":0.3,""temperature_sensor_status"":2,""total_current"":1.14}
MIC: c3f65f15"
24E124746E228250,24E124FFFEFAB29D,502100000,SF7BW125, -/-,0,4,DnUnc,2026-07-15T12:40:11+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: false
Timestamp: 1352358814
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 4
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 20
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 3823c2e0"
24E124746E228250,24E124FFFEFAB29D,472100000,SF7BW125, -60/13.8,14,22,UpUnc,2026-07-15T12:40:10+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 1351358814
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 22
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.8
RSSI: -60
Power: -
Payload(b64): A5dbAAAABJhYAAln//8=
Payload(hex): 03975b000000049858000967ffff
JSON: {""current"":0.88,""temperature_sensor_status"":2,""total_current"":0.91}
MIC: df0d31a4"
24E124746E228250,24E124FFFEFAB29D,472500000,SF7BW125, -56/13.5,14,21,UpUnc,2026-07-15T12:09:56+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3832727234
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 21
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.5
RSSI: -56
Power: -
Payload(b64): A5c3AAAABJg6AAln//8=
Payload(hex): 03973700000004983a000967ffff
JSON: {""current"":0.58,""temperature_sensor_status"":2,""total_current"":0.55}
MIC: 859f8c32"
24E124746E228250,24E124FFFEFAB29D,472900000,SF7BW125, -51/8.2,14,20,UpUnc,2026-07-15T12:08:56+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3772727664
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 20
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.2
RSSI: -51
Power: -
Payload(b64): A5c2AAAABJg9AAln//8=
Payload(hex): 03973600000004983d000967ffff
JSON: {""current"":0.61,""temperature_sensor_status"":2,""total_current"":0.54}
MIC: f3348f16"
24E124746E228250,24E124FFFEFAB29D,472900000,SF7BW125, -51/8.2,14,19,UpUnc,2026-07-15T12:07:56+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3712728697
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 19
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.2
RSSI: -51
Power: -
Payload(b64): A5c1AAAABJhCAAln//8=
Payload(hex): 039735000000049842000967ffff
JSON: {""current"":0.66,""temperature_sensor_status"":2,""total_current"":0.53}
MIC: a73739e5"
